iteration,subtask_type,task_order,task_description
2,dev,1,Testing environments activated and configured on PCFS Azure server this week
2,dev,2,"Genogram (relations) tab in development — Add Connection modal, relationship types, and three-generation family mapping (active on genogram branch)"
2,dev,3,"Current Household view in development — household composition auto-generated from shared addresses and relationships (active on household branch)"
3,dev,1,"Intake workflow module — structured intake creation with mandatory field validation, lifecycle status (Awaiting Approval / Active / Closed), and supervisor assignment"
3,dev,2,"Intake-to-case escalation logic — ability to resolve intake without opening case; intake record links to case when escalated"
3,dev,3,"Automated in-app and email notifications for pending approvals, task assignments, and scheduled supervisor reviews"
4,dev,1,"Case file module — creation, lifecycle management, worker/supervisor assignment, and caseload visibility"
4,dev,2,"Signs of Safety–aligned 13-step practice model — progress tracking, placement decisions, and workflow checklists"
4,dev,3,"Case reassignment with approval chain; historical case and intake visibility per family"
5,dev,1,"Case notes — timestamped entries with role-based locking, audit logging, and Signs of Safety tagging"
5,dev,2,"Supervisory oversight — mandatory face-to-face follow-up tracking, QA automation, and review checklists"
5,dev,3,"Document management across person, intake, and case levels — role-based visibility and long-term encrypted storage"
6,dev,1,"ETL extraction and transformation from FamCare — deduplication and CFSIS field validation rules"
6,dev,2,"Trial migrations in sandbox environment — accuracy verification and data reconciliation against source records"
6,dev,3,"Live migration execution — minimal downtime strategy, parallel running period, and data integrity sign-off"
7,dev,1,"Intake-level emergency support budgets and case-level spending caps with approval thresholds and real-time tracking"
7,dev,2,"Finance-restricted role access, approval workflows, audit logging, and responsive finance form submissions"
7,dev,3,"Sage 300 integration-ready financial data export and two-way alignment for reporting (full API integration in future phase)"
8,dev,1,"Role-based dashboards for workers, supervisors, admin, and finance — task lists, pending approvals, and alert widgets"
8,dev,2,"Custom and automated reporting (weekly / monthly / quarterly) with CFSIS-compliant export and Chief & Council summaries"
8,dev,3,"Address-based search tab — search address fields across existing records and return associated individuals and cases prioritized by open status"
9,dev,1,"Load testing, performance optimization, and security hardening for production scale"
9,dev,2,"Backup, disaster recovery, and production rollout verification against readiness checklist"
9,dev,3,"Staff training documentation and go-live support preparation"
